"Ring","Year","Sex","Age","ReproSuccess","boldness"
"1",2014,"F",46,1,0.838336343
"2",2013,"M",30,1,-0.390149777087359
"3",2011,"F",28,1,0.555889737938999
"4",2013,"M",37,1,-0.3822516
"5",2016,"M",31,1,1.340847166
"6",2011,"M",26,1,0.08177073
"7",2018,"F",33,1,0.1518669
"8",2011,"M",33,0,0.4135445
"9",2017,"M",38,1,-0.9243856
"10",2013,"F",27,1,0.1335195
"11",2018,"M",32,1,-1.005576
"12",2013,"F",27,1,0.702871
"13",2013,"M",33,0,-0.5767656
"14",2011,"M",22,1,0.7562146
"14",2013,"M",24,1,0.3617451
"14",2015,"M",26,1,0.3617451
"15",2018,"M",31,1,-1.653937
"16",2012,"M",25,1,-0.5063834
"17",2011,"M",24,1,-2.374952
"18",2016,"M",29,0,0.9272986
"19",2013,"F",25,1,0.02783998
"19",2016,"F",28,1,-0.2993548
"19",2018,"F",30,0,-0.2993548
"20",2011,"M",23,0,-0.07884486
"20",2017,"M",29,0,-0.07884486
"20",2018,"M",30,0,-0.07884486
"21",2013,"M",23,0,-0.5706975
"21",2014,"M",24,1,-0.5706975
"21",2018,"M",28,0,-0.5706975
"22",2011,"M",21,1,-0.4489456
"22",2018,"M",28,1,-0.4489456
"23",2016,"M",25,1,-0.269583
"24",2013,"M",22,1,0.1393096
"24",2017,"M",26,1,0.1393096
"25",2014,"F",31,1,-0.6575532
"26",2016,"F",24,1,-0.1464456
"27",2012,"F",20,0,0.5128218
"27",2013,"F",21,0,1.658475
"27",2014,"F",22,1,0.5128218
"27",2019,"F",27,1,0.5128218
"28",2013,"F",21,1,3.300882
"29",2019,"M",27,1,-0.5688168
"30",2013,"F",21,1,0.2948611
"30",2017,"F",25,1,0.2948611
"31",2010,"F",16,1,0.01215193
"32",2016,"F",23,1,-2.399421
"33",2018,"M",25,0,-0.6377799
"35",2013,"M",20,0,0.1987457
"36",2010,"M",17,1,1.030913
"36",2013,"M",20,1,1.030913
"37",2013,"M",20,1,0.037626
"38",2013,"M",20,0,0.6808917
"39",2013,"M",19,1,-0.9415334
"40",2018,"M",24,1,-0.2844779
"41",2014,"M",20,1,0.6806246
"41",2016,"M",22,0,0.6806246
"42",2013,"M",19,0,0.4701763
"43",2016,"F",22,0,-0.3396519
"44",2013,"F",19,1,0.2686717
"45",2010,"M",16,1,-0.4765397
"46",2013,"F",19,1,2.54725
"47",2013,"F",16,1,0.5995933
"48",2011,"F",16,1,1.900346
"48",2013,"F",18,0,1.900346
"48",2015,"F",20,1,1.900346
"49",2012,"M",17,1,-0.3290622
"50",2012,"F",17,1,0.6217305
"51",2012,"F",17,0,-0.5338687
"51",2013,"F",18,1,-0.5338687
"52",2015,"M",20,1,-0.4441309
"53",2012,"M",17,1,-0.6837063
"53",2018,"M",23,1,-0.6837063
"54",2011,"F",16,1,0.00377692
"55",2012,"F",17,1,-0.09933063
"55",2016,"F",21,1,-0.09933063
"56",2010,"F",21,1,-0.7368243
"57",2013,"M",17,0,0.3106758
"58",2013,"M",17,1,0.5135837
"59",2017,"M",21,0,0.3906143
"60",2020,"M",24,1,-0.03326606
"61",2020,"F",24,1,-0.4702889
"62",2018,"M",22,1,-0.8934143
"64",2016,"M",20,0,-0.2172575
"65",2012,"F",16,1,-0.4574409
"65",2018,"F",22,1,-0.4574409
"66",2016,"F",18,1,-0.3761251
"67",2016,"F",18,1,-0.1682809
"68",2020,"M",22,1,-0.08215083
"69",2011,"M",13,1,-0.4189184
"70",2016,"M",18,0,-1.116601
"71",2018,"F",27,1,-0.06948663
"72",2013,"F",15,1,-0.9048416
"73",2017,"M",19,1,-0.3370192
"74",2016,"M",18,1,-0.1532842
"75",2011,"M",13,1,-0.5152135
"75",2013,"M",15,0,-0.5152135
"75",2014,"M",16,1,-0.5152135
"76",2016,"M",18,1,-0.6815953
"77",2011,"F",13,1,-0.3041786
"77",2013,"F",15,0,-0.467419
"77",2014,"F",16,1,-0.3041786
"78",2011,"F",46,0,-0.5857594
"78",2016,"F",51,1,-0.324178
"79",2011,"F",12,1,-0.4572883
"81",2017,"F",18,1,-0.4139726
"82",2015,"M",16,1,0.2260903
"83",2019,"F",20,1,0.241998
"84",2017,"F",18,1,-0.1019444
"85",2016,"M",17,1,2.161625
"86",2015,"M",16,1,-0.3377334
"86",2017,"M",18,1,-0.3377334
"87",2016,"M",17,0,0.4767992
"88",2018,"F",37,1,-0.1242068
"89",2012,"M",21,1,0.003968621
"90",2013,"M",13,1,0.480071
"91",2018,"M",18,1,-0.5161645
"92",2011,"M",11,1,-0.8688193
"92",2018,"M",18,1,-0.8688193
"93",2016,"M",16,0,0.6553525
"95",2013,"M",13,1,-0.4399039
"96",2013,"F",13,1,-0.2447819
"96",2015,"F",15,1,-0.2447819
"97",2011,"M",11,1,0.006633516
"98",2011,"F",11,1,0.4093411
"98",2013,"F",13,0,0.2421149
"99",2016,"F",16,1,0.7116263
"100",2014,"M",35,1,-0.5528569
"101",2016,"F",19,1,-0.427574
"102",2013,"M",16,0,0.294392
"103",2012,"M",15,0,1.504043
"104",2013,"M",16,0,0.06921402
"105",2015,"F",18,1,-0.4417317
"106",2015,"M",18,1,0.03005011
"107",2010,"M",13,1,-0.191643
"107",2015,"M",18,1,-0.191643
"108",2012,"M",15,1,0.764344
"109",2013,"M",31,1,-0.87601
"110",2016,"M",16,1,-0.0685633
"111",2013,"F",13,1,-1.231617
"111",2017,"F",17,1,-0.7217023
"112",2012,"F",36,0,-0.3595927
"113",2013,"F",13,1,0.5820098
"114",2011,"F",28,1,0.3465779
"114",2013,"F",30,1,0.02163111
"114",2015,"F",32,1,0.3465779
"115",2011,"F",13,1,-0.8210257
"115",2013,"F",15,1,-0.06328193
"115",2017,"F",19,0,-0.06328193
"115",2018,"F",20,1,-0.06328193
"116",2011,"M",13,1,-0.6376044
"116",2013,"M",15,1,-0.6376044
"117",2017,"F",19,0,-0.1283107
"118",2013,"F",43,1,0.2943264
"119",2011,"M",41,0,-0.8815759
"119",2012,"M",42,0,-0.8815759
"120",2011,"M",19,1,0.2083898
"121",2019,"M",27,1,-0.8423327
"122",2012,"F",40,1,0.1490043
"122",2017,"F",45,1,0.1490043
"123",2013,"F",37,1,-0.3877137
"124",2012,"F",41,0,-0.4571628
"125",2010,"F",16,1,-0.7130768
"126",2013,"F",35,1,-0.126003
"126",2017,"F",39,1,-0.126003
"127",2012,"F",18,1,-0.2746
"127",2020,"F",26,1,-0.2746
"128",2013,"F",31,1,0.2070126
"128",2016,"F",34,1,0.2070126
"128",2019,"F",37,1,0.2070126
"129",2010,"F",9,1,0.1243703
"129",2013,"F",12,1,0.1243703
