"Ring","DateTime","Sex","Year","Longitude","Latitude","WindSp","WindDir","LoD","ID","mean_BLUP_logit","boldCat","speed","behaviour","State_HMM"
"WAAL147","2016-01-17 04:16:24","F",2016,50.13322,-43.8207,9.206835,66.33114,"L","147_2016_1",2.385489,"bold",14.2224557915663,"travel","Travel"
"WAAL147","2016-01-17 04:31:24","F",2016,50.12125,-43.70591,9.603373,77.45419,"L","147_2016_1",2.385489,"bold",15.0450165164076,"search","Travel"
"WAAL147","2016-01-17 04:46:24","F",2016,50.10091,-43.58503,9.757358,78.51473,"L","147_2016_1",2.385489,"bold",16.1290876725315,"travel","Travel"
"WAAL147","2016-01-17 05:01:24","F",2016,50.07223,-43.45615,9.757358,71.17466,"L","147_2016_1",2.385489,"bold",15.1576770494593,"search","Travel"
"WAAL147","2016-01-17 05:16:24","F",2016,50.06675,-43.33353,9.847125,77.86195,"L","147_2016_1",2.385489,"bold",15.3160405549989,"search","Travel"
"WAAL147","2016-01-17 05:16:24","F",2016,50.06675,-43.33353,9.847125,77.86195,"L","147_2016_1",2.385489,"bold",15.3160405549989,"search","Travel"
"WAAL147","2016-01-17 05:31:24","F",2016,50.03535,-43.21169,10.32814,86.06712,"L","147_2016_1",2.385489,"bold",14.2273403019352,"travel","Travel"
"WAAL147","2016-01-17 05:31:24","F",2016,50.03535,-43.21169,10.32814,86.06712,"L","147_2016_1",2.385489,"bold",14.2273403019352,"travel","Travel"
"WAAL147","2016-01-17 05:46:24","F",2016,50.00386,-43.09885,10.32814,84.40074,"L","147_2016_1",2.385489,"bold",15.4476149602109,"travel","Travel"
"WAAL147","2016-01-17 05:46:24","F",2016,50.00386,-43.09885,10.32814,84.40074,"L","147_2016_1",2.385489,"bold",15.4476149602109,"travel","Travel"
"WAAL147","2016-01-17 06:01:24","F",2016,49.97461,-42.97566,10.35843,79.343,"L","147_2016_1",2.385489,"bold",15.7785415181243,"travel","Travel"
"WAAL147","2016-01-17 06:01:24","F",2016,49.97461,-42.97566,10.35843,79.343,"L","147_2016_1",2.385489,"bold",15.7785415181243,"search","Travel"
"WAAL147","2016-01-17 06:16:24","F",2016,49.95638,-42.84865,10.35843,75.26894,"L","147_2016_1",2.385489,"bold",16.2673404455403,"search","Travel"
"WAAL147","2016-01-17 06:16:24","F",2016,49.95638,-42.84865,10.35843,75.26894,"L","147_2016_1",2.385489,"bold",16.2673404455403,"search","Travel"
"WAAL147","2016-01-17 06:31:24","F",2016,49.95028,-42.71706,10.7876,81.99687,"L","147_2016_1",2.385489,"bold",16.1062493983358,"search","Travel"
"WAAL147","2016-01-17 06:31:24","F",2016,49.95028,-42.71706,10.7876,81.99687,"L","147_2016_1",2.385489,"bold",16.1062493983358,"search","Travel"
"WAAL147","2016-01-17 06:46:24","F",2016,49.94091,-42.58688,10.7876,79.34622,"L","147_2016_1",2.385489,"bold",17.0922994199657,"search","Travel"
"WAAL147","2016-01-17 06:46:24","F",2016,49.94091,-42.58688,10.7876,79.34622,"L","147_2016_1",2.385489,"bold",17.0922994199657,"search","Travel"
"WAAL147","2016-01-17 07:01:24","F",2016,49.93962,-42.44854,10.60237,80.38575,"L","147_2016_1",2.385489,"bold",16.1143255009651,"search","Travel"
"WAAL147","2016-01-17 07:01:24","F",2016,49.93962,-42.44854,10.60237,80.38575,"L","147_2016_1",2.385489,"bold",16.1143255009651,"search","Travel"
"WAAL147","2016-01-17 07:16:24","F",2016,49.93067,-42.31828,10.60237,79.61259,"L","147_2016_1",2.385489,"bold",18.063156359097,"search","Travel"
"WAAL147","2016-01-17 07:16:24","F",2016,49.93067,-42.31828,10.60237,79.61259,"L","147_2016_1",2.385489,"bold",18.063156359097,"search","Travel"
"WAAL147","2016-01-17 07:31:24","F",2016,49.92332,-42.17218,11.01156,82.31849,"L","147_2016_1",2.385489,"bold",16.5185862344641,"search","Travel"
"WAAL147","2016-01-17 07:31:24","F",2016,49.92332,-42.17218,11.01156,82.31849,"L","147_2016_1",2.385489,"bold",16.5185862344641,"search","Travel"
"WAAL147","2016-01-17 07:46:24","F",2016,49.92115,-42.03849,11.01156,81.03903,"L","147_2016_1",2.385489,"bold",18.7224943269943,"search","Travel"
"WAAL147","2016-01-17 07:46:24","F",2016,49.92115,-42.03849,11.01156,81.03903,"L","147_2016_1",2.385489,"bold",18.7224943269943,"search","Travel"
"WAAL147","2016-01-17 08:01:24","F",2016,49.92323,-41.88696,10.88353,76.60406,"L","147_2016_1",2.385489,"bold",17.6303984145362,"search","Travel"
"WAAL147","2016-01-17 08:16:24","F",2016,49.93823,-41.7447,10.88353,75.05258,"L","147_2016_1",2.385489,"bold",18.8731662014612,"search","Travel"
"WAAL147","2016-01-17 08:31:24","F",2016,49.95974,-41.59279,11.09707,90.65217,"L","147_2016_1",2.385489,"bold",14.6186529921106,"search","Travel"
"WAAL147","2016-01-17 08:46:24","F",2016,49.94103,-41.4753,10.87747,80.76706,"L","147_2016_1",2.385489,"bold",16.1387922473739,"search","Travel"
"WAAL147","2016-01-17 16:31:24","F",2016,49.80719,-37.98422,10.51545,98.34511,"L","147_2016_1",2.385489,"bold",14.5184652807271,"search","Travel"
"WAAL147","2016-01-17 16:46:24","F",2016,49.77754,-37.86906,10.51545,96.88079,"D","147_2016_1",2.385489,"bold",13.0183205990684,"travel","Travel"
"WAAL147","2016-01-17 17:01:24","F",2016,49.75432,-37.7653,10.51545,104.793,"D","147_2016_1",2.385489,"bold",11.7723156174332,"travel","Travel"
"WAAL147","2016-01-17 17:16:24","F",2016,49.71729,-37.67463,9.831647,121.1874,"D","147_2016_1",2.385489,"bold",10.2316593343491,"search","Travel"
"WAAL147","2016-01-17 17:31:24","F",2016,49.65437,-37.60848,10.27279,135.8085,"D","147_2016_1",2.385489,"bold",10.3622190561449,"travel","Travel"
